Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Author Keywords,Index Keywords,Funding Details,Document Type,Access Type,Source
"6507837538;23009148300;","Fundamental limits of caching",2014,"IEEE Transactions on Information Theory",805,"10.1109/TIT.2014.2306938","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899645734&doi=10.1109%2fTIT.2014.2306938&partnerID=40&md5=33a0fe706bab4eceeb14b7dfefda2c04","Caching; coded caching; content distribution; prefetching.","Information theory; Basic structure; Caching; Caching scheme; coded caching; Constant factors; Content distribution; Prefetching; Problem parameters; Cache memory",,Article,,Scopus
"7401711350;49060981400;6602271599;36571031500;35204593500;7006354215;57203199846;36841957400;7005562402;56202321100;7101869647;55779464900;57203142176;7201785152;","Increasing frequency of extreme El Niño events due to greenhouse warming",2014,"Nature Climate Change",799,"10.1038/nclimate2100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896815971&doi=10.1038%2fnclimate2100&partnerID=40&md5=2fc2435a0643ba7a9ac6f4236852aef2",,"atmospheric convection; climate variation; El Nino; global climate; greenhouse ecosystem; socioeconomic conditions; tropical cyclone; Pacific Ocean; Pacific Ocean (Equatorial)","1049219

4049

FL100100214",Article,,Scopus
"8512852800;57206895554;36914703000;42461880200;57209442963;","Current trends in smart city initiatives: Some stylised facts",2014,"Cities",791,"10.1016/j.cities.2013.12.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892634029&doi=10.1016%2fj.cities.2013.12.010&partnerID=40&md5=0eff0621a25af4eb4b84bcb1eb3ab983","Information systems; Public policies; Regression analysis; Smart City; Urban planning","economic development; empirical analysis; information system; policy making; quality of life; regression analysis; urban economy; urban planning; urban policy",,Article,,Scopus
"7101869647;8266754800;29967537000;7006518289;57203199846;7401711350;8874929700;7005562402;55247561000;36841957400;","Recent intensification of wind-driven circulation in the Pacific and the ongoing warming hiatus",2014,"Nature Climate Change",728,"10.1038/nclimate2106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895429353&doi=10.1038%2fnclimate2106&partnerID=40&md5=65ca0ec8ce30af3c71be9a68ce4d5275",,"air temperature; global warming; greenhouse gas; heat flux; overturn; sea surface temperature; wind velocity; wind-driven circulation; Pacific Ocean","1049219

",Article,,Scopus
"6602790730;23474666800;","Testing theories of American politics: Elites, interest groups, and average citizens",2014,"Perspectives on Politics",661,"10.1017/S1537592714001595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905226854&doi=10.1017%2fS1537592714001595&partnerID=40&md5=a75039b0935e5704011cf80daac7afd8",,,,Article,Open Access,Scopus
"35234314600;6507122674;","UAV for 3D mapping applications: A review",2014,"Applied Geomatics",651,"10.1007/s12518-013-0120-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889854588&doi=10.1007%2fs12518-013-0120-x&partnerID=40&md5=3e1da2f219ed2fc5d4218956144f0059","Agriculture; Archeology; DSM; Emergency; Photogrammetry; UAV; Urban",,"PCOFOUND-GA-2008-226070",Review,,Scopus
"56215952700;7003555242;","Auxiliary Variables in Mixture Modeling: Three-Step Approaches Using Mplus",2014,"Structural Equation Modeling",634,"10.1080/10705511.2014.915181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904300107&doi=10.1080%2f10705511.2014.915181&partnerID=40&md5=122689e6b93de5cc26a986a3d64bdbb3","3-step estimation; distal outcomes; latent class predictors; mixture modeling; Mplus","Mathematical models; Statistical methods; Auxiliary variables; distal outcomes; Latent class; Latent class analysis; Mixture model; Mplus; Predictor variables; Transition analysis; Mixtures",,Article,,Scopus
"9333655700;","What are we doing here? Analyzing fifteen years of energy scholarship and proposing a social science research agenda",2014,"Energy Research and Social Science",634,"10.1016/j.erss.2014.02.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901922409&doi=10.1016%2fj.erss.2014.02.003&partnerID=40&md5=471c0e16e40d7cbc56dec6e087e0bcaa","Content analysis; Energy studies research; Media content analysis",,,Article,,Scopus
"26642984800;","Big Data, new epistemologies and paradigm shifts",2014,"Big Data and Society",625,"10.1177/2053951714528481","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073682542&doi=10.1177%2f2053951714528481&partnerID=40&md5=49cbcd64a939cb47af2f8996d0c114a2","Big Data; computational social sciences; data analytics; data-driven science; digital humanities; end of theory; epistemology; paradigms",,"ERC-2012-AdG-323636",Article,Open Access,Scopus
"35112713500;51664954500;56349717600;","Don't count, predict! A systematic comparison of context-counting vs. context-predicting semantic vectors",2014,"52nd Annual Meeting of the Association for Computational Linguistics, ACL 2014 - Proceedings of the Conference",617,"10.3115/v1/p14-1023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906930943&doi=10.3115%2fv1%2fp14-1023&partnerID=40&md5=418ea8c7fb5e87940c69e34cf9a4fbf6",,"Computational linguistics; Forecasting; Distributional semantics; Language model; Lexical semantics; Parameter setting; Predicting models; Predictive models; Semantic approach; Semantic vectors; Semantics",,Conference Paper,,Scopus
"7003681353;55213700400;6603095001;7004004338;15769969300;7801565592;","A meta-analysis of crop yield under climate change and adaptation",2014,"Nature Climate Change",617,"10.1038/nclimate2153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897066219&doi=10.1038%2fnclimate2153&partnerID=40&md5=7a44272190378bbfe02ce8afe5950ac5",,"adaptation; annual variation; climate change; climate effect; crop yield; food security; maize; meta-analysis; rice","",Article,,Scopus
"13405449400;6701773611;8732868300;6701604201;15065181800;35501654900;35344689700;6603711720;24490551300;55453681500;36671148500;54683863300;6603059610;7401790410;16679631900;15758386700;14030523100;7006468315;7101879480;55881447200;6602194980;55461477600;55504788600;35782266300;","A stratigraphic framework for abrupt climatic changes during the Last Glacial period based on three synchronized Greenland ice-core records: Refining and extending the INTIMATE event stratigraphy",2014,"Quaternary Science Reviews",608,"10.1016/j.quascirev.2014.09.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924351306&doi=10.1016%2fj.quascirev.2014.09.007&partnerID=40&md5=c30afcbd610ed36ed86613b4f22095e1","Definition of interstadials; Definition of stadials; INTIMATE event stratigraphy; Sequence of glacial climate events; Synchronized ice core records","Climate change; Glacial geology; Isotopes; Loading; Salinity measurement; Stratigraphy; Synchronization; Definition of stadials; Event stratigraphies; Glacial climate; Ice core records; Interstadials; Ice; climate variation; glacial-interglacial cycle; ice core; interstadial; Last Glacial; NorthGRIP; paleoclimate; perturbation; proxy climate record; stable isotope; stratigraphy; Arctic; Atlantic Ocean; Atlantic Ocean (North); Greenland","ES0907

2284

",Article,Open Access,Scopus
"56122593000;35957755200;24831264500;50461069300;13204971900;35956088800;14821791600;","Intriguing properties of neural networks",2014,"2nd International Conference on Learning Representations, ICLR 2014 - Conference Track Proceedings",607,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083953343&partnerID=40&md5=9e54c0c0aadcf8433dbada73c83ad595",,"Deep neural networks; Network layers; Semantics; Speech recognition; Input-output mapping; Linear combinations; Prediction errors; Semantic information; Specific nature; State-of-the-art performance; Visual recognition; Multilayer neural networks",,Conference Paper,,Scopus
"55953844000;55729555700;55522964500;54581936100;57190004147;","Relation classification via convolutional deep neural network",2014,"COLING 2014 - 25th International Conference on Computational Linguistics, Proceedings of COLING 2014: Technical Papers",583,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959862537&partnerID=40&md5=941bf9f282e37f03bbb4a724f8abb056",,"Artificial intelligence; Classification (of information); Computational linguistics; Convolution; Data mining; Learning algorithms; Learning systems; Linguistics; Deep neural networks; Feature vectors; NAtural language processing; Pre-processing; Relation classifications; Sentence level; State-of-the-art methods; Statistical machine learning; Natural language processing systems","61202329

61272332

61303180

61333018",Conference Paper,,Scopus
"56181336700;23995914700;55746714100;55587890800;35080762900;8575883100;","Learning sentiment-specific word embedding for twitter sentiment classification",2014,"52nd Annual Meeting of the Association for Computational Linguistics, ACL 2014 - Proceedings of the Conference",582,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906924350&partnerID=40&md5=0e227e0d03614362842af5693b90d23d",,"Algorithms; Benchmarking; Computational linguistics; Syntactics; Feature sets; Loss functions; Sentiment analysis; Sentiment classification; Training corpus; Word representations; Word vectors; Social networking (online)",,Conference Paper,,Scopus
"55665418300;55319933300;","Deep convolutional neural networks for sentiment analysis of short texts",2014,"COLING 2014 - 25th International Conference on Computational Linguistics, Proceedings of COLING 2014: Technical Papers",555,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84932166511&partnerID=40&md5=c9825887048817f46442e8d5306163a5",,"Classification (of information); Convolution; Data mining; Linguistics; Neural networks; Social networking (online); Contextual information; Convolutional neural network; Different domains; Positive/negative classifications; Prediction accuracy; Prior knowledge; Sentiment analysis; State of the art; Computational linguistics",,Conference Paper,,Scopus
"55926433700;56405762800;11939875400;","Network in network",2014,"2nd International Conference on Learning Representations, ICLR 2014 - Conference Track Proceedings",552,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083953135&partnerID=40&md5=721693a464be148587bea79972ed8b21",,"Classification (of information); Classification performance; Complex structure; Discriminability; Function approximators; Network structures; Nonlinear activation functions; Receptive fields; State of the art; Multilayer neural networks",,Conference Paper,,Scopus
"6506582305;7402188806;33068341600;55387316900;36856283600;7202446140;6603189362;","Burnout among u.s. medical students, residents, and early career physicians relative to the general u.s. population",2014,"Academic Medicine",543,"10.1097/ACM.0000000000000134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894668487&doi=10.1097%2fACM.0000000000000134&partnerID=40&md5=394494c40b9f30c7c9662a036c9026e9",,"adult; article; burnout; depression; fatigue; female; human; male; marriage; medical education; medical student; mental stress; multivariate analysis; physician; prevalence; psychological aspect; quality of life; risk; risk factor; statistical model; statistics; suicidal ideation; United States; Adult; Burnout, Professional; Depression; Fatigue; Fellowships and Scholarships; Female; Humans; Internship and Residency; Logistic Models; Male; Marital Status; Multivariate Analysis; Odds Ratio; Physicians; Prevalence; Quality of Life; Risk Factors; Stress, Psychological; Students, Medical; Suicidal Ideation; United States",,Article,Open Access,Scopus
"6506806174;","Prevalence of autism spectrum disorder among children aged 8 years - Autism and Developmental Disabilities Monitoring Network, 11 Sites, United States, 2010",2014,"MMWR Surveillance Summaries",524,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900527418&partnerID=40&md5=040b94c93c59e42b023684ada775acb5",,,"",Article,,Scopus
"35551973000;7007078956;6603675697;35564091300;25651621900;57210905926;6603873624;7202579934;","Human Papillomavirus Vaccination Recommendations of the Advisory Committee on Immunization Practices (ACIP)",2014,"MMWR Recommendations and Reports",523,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907813308&partnerID=40&md5=6cd632d9450915fc98fa7a448d4ec28b",,"Wart virus vaccine; adolescent; adult; advisory committee; article; child; female; human; immunization; male; middle aged; papillomavirus infection; pregnancy; public health service; randomized controlled trial (topic); standard; United States; vaccination; young adult; Adolescent; Adult; Advisory Committees; Centers for Disease Control and Prevention (U.S.); Child; Female; Humans; Immunization Schedule; Male; Middle Aged; Papillomavirus Infections; Papillomavirus Vaccines; Pregnancy; Randomized Controlled Trials as Topic; United States; Vaccination; Young Adult",,Article,,Scopus
"55926878700;7401440526;55927211700;23569074300;52363558700;23468956600;6504580950;7003995538;","The flipped classroom: A course redesign to foster learning and engagement in a health professions school",2014,"Academic Medicine",483,"10.1097/ACM.0000000000000086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894056697&doi=10.1097%2fACM.0000000000000086&partnerID=40&md5=238bd110e1ad4cf6364bdc80c64a8dd0",,"article; curriculum; education; human; methodology; problem based learning; teaching; Computer-Assisted Instruction; Curriculum; Education, Pharmacy; Educational Measurement; Humans; Problem-Based Learning; Teaching",,Article,Open Access,Scopus
"7404250633;15126487800;22950237000;7003362070;35553951800;57198249844;25723322400;7402287546;7103271119;7003871110;7005779176;56217683300;7003494572;6603977202;56186618700;7402313175;7005394565;57202733911;7006033826;7102666825;7402674597;7003916945;22636374400;56218127700;7005168780;6603993184;","Antarctic climate change and the environment: An update",2014,"Polar Record",476,"10.1017/S0032247413000296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902802686&doi=10.1017%2fS0032247413000296&partnerID=40&md5=8beba4a73ec06797d594e269ac734de9",,"biota; climate change; Intergovernmental Panel on Climate Change; knowledge; research; Antarctica; Southern Ocean",,Article,,Scopus
"7102271490;6603096742;17134732300;35401700400;36628980500;7006296830;","A scoping review of scoping reviews: Advancing the approach and enhancing the consistency",2014,"Research Synthesis Methods",472,"10.1002/jrsm.1123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924813692&doi=10.1002%2fjrsm.1123&partnerID=40&md5=992d2f3006b6f0f0b03004f47fa18c7b","Knowledge synthesis; Literature review; Methodology; Scoping review","bibliographic database; bibliometrics; literature; nomenclature; publishing; quality control; research; standards; statistics and numerical data; writing; Bibliometrics; Databases, Bibliographic; Publishing; Quality Control; Research Report; Review Literature as Topic; Terminology as Topic; Writing",,Article,Open Access,Scopus
"6602343954;","Regime Resistance against Low-Carbon Transitions: Introducing Politics and Power into the Multi-Level Perspective",2014,"Theory, Culture & Society",464,"10.1177/0263276414531627","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907085137&doi=10.1177%2f0263276414531627&partnerID=40&md5=e487c957de5f47d017683e155fbebdf6","climate change; electricity; incumbent regimes; resistance; transitions",,"EP/KO11790/1",Article,Open Access,Scopus
"23388730800;7406650874;6602473256;55173837000;14027914600;26436409300;","Prevalence and characteristics of sexual violence, stalking, and intimate partner violence victimization - national intimate partner and sexual violence survey, united states, 2011",2014,"MMWR Surveillance Summaries",462,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908027374&partnerID=40&md5=32fcd395b63561752939eb4e2f1b30e5",,"adolescent; adult; article; crime victim; ethnic group; ethnology; female; human; information processing; male; middle aged; partner violence; prevalence; psychological aspect; sex ratio; sexual crime; sexuality; stalking; statistics; United States; young adult; Adolescent; Adult; Crime Victims; Data Collection; Ethnic Groups; Female; Humans; Male; Middle Aged; Prevalence; Sex Distribution; Sex Offenses; Sexual Partners; Spouse Abuse; Stalking; United States; Young Adult",,Article,,Scopus
"56123548200;57204041280;37038827700;56670576100;56124407900;56190591600;56995419200;56125302400;55499083800;55243776200;57196741866;55888870800;11440987400;8421266200;","TCMSP: A database of systems pharmacology for drug discovery from herbal medicines",2014,"Journal of Cheminformatics",457,"10.1186/1758-2946-6-13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899981355&doi=10.1186%2f1758-2946-6-13&partnerID=40&md5=e29b8a7a0297fd3d951028dc92ccba80","ADME; Drug discovery; Systems pharmacology; TCM",,"31170796

81373892",Article,Open Access,Scopus
"55445334700;24605394200;","Dependency-based word embeddings",2014,"52nd Annual Meeting of the Association for Computational Linguistics, ACL 2014 - Proceedings of the Conference",453,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906924508&partnerID=40&md5=a1666d4640331df4baf5b488a741176e",,"Current models; Embeddings; Functional similarity; Computational linguistics",,Conference Paper,,Scopus
"7404391294;56664840500;57216958119;9279261400;7004062919;55899333600;7409122292;","Four hundred and sixty brands of e-cigarettes and counting: Implications for product regulation",2014,"Tobacco Control",451,"10.1136/tobaccocontrol-2014-051670","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922022139&doi=10.1136%2ftobaccocontrol-2014-051670&partnerID=40&md5=8d2d2ef4955d85b33fa518ef6a012a02",,"electronic cigarette; nicotine; consumer attitude; government regulation; human; Internet; marketing; tobacco; Consumer Behavior; Electronic Cigarettes; Government Regulation; Humans; Internet; Marketing; Nicotine; Tobacco Products","CA154280

",Article,Open Access,Scopus
"8680724400;7004324603;7003865235;","Short-term traffic forecasting: Where we are and where we're going",2014,"Transportation Research Part C: Emerging Technologies",444,"10.1016/j.trc.2014.01.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902550333&doi=10.1016%2fj.trc.2014.01.005&partnerID=40&md5=5ef0684ccef7e20bea871a1828169f15","Computational intelligence; Intelligent Transportation Systems; Prediction models; Responsive algorithms; Short-term traffic; Time series analysis","Artificial intelligence; Forecasting; Intelligent systems; Time series analysis; Traffic control; Transportation; Travel time; Intelligent transportation systems; Prediction model; Research and application; Short term; Short-term traffic forecasting; Traffic characteristics; Traffic conditions; Traffic volumes; Intelligent vehicle highway systems; algorithm; forecasting method; intelligent transportation system; motorway; numerical model; time series analysis; traffic management; travel time",,Article,,Scopus
"24478602800;24724343000;8902345100;35588784300;","Massive MIMO systems with non-ideal hardware: Energy efficiency, estimation, and capacity limits",2014,"IEEE Transactions on Information Theory",435,"10.1109/TIT.2014.2354403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908222752&doi=10.1109%2fTIT.2014.2354403&partnerID=40&md5=5f9c604c44bc9ac68a9ce7ca6181927f","Capacity bounds; channel estimation; energy efficiency; massive MIMO; pilot contamination; time-division duplex; transceiver hardware impairments","Antenna arrays; Antennas; Channel estimation; Degrees of freedom (mechanics); Hardware; MIMO systems; Radio transceivers; Transceivers; Asymptotic regimes; Capacity bound; Conventional systems; Inter-user interference; Pilot contaminations; Spectral efficiencies; Time division duplex; Transceiver hardware; Energy efficiency",,Article,,Scopus
"7005423388;7005935076;","Analytic methods in accident research: Methodological frontier and future directions",2014,"Analytic Methods in Accident Research",427,"10.1016/j.amar.2013.09.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893489445&doi=10.1016%2fj.amar.2013.09.001&partnerID=40&md5=de57cdf913438f1844c42960fc38efe3","Accident analysis; Crash frequency; Crash severity; Econometric methods; Highway safety; Statistical methods","Highway planning; Motor transportation; Statistical methods; Accident analysis; Crash frequency; Crash severity; Econometric methods; Highway safety; Highway accidents",,Article,,Scopus
"55611542000;","Making sense of financialization",2014,"Socio-Economic Review",420,"10.1093/ser/mwt020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892450633&doi=10.1093%2fser%2fmwt020&partnerID=40&md5=960315f3d40ad7113afed14b23162686","Economic systems; Financial markets; Financialization; Institutional change; Multidisciplinary review",,,Article,,Scopus
"55150909900;35838645400;57206139915;6506870973;7403689143;","Effectiveness of virtual reality-based instruction on students' learning outcomes in K-12 and higher education: A meta-analysis",2014,"Computers and Education",409,"10.1016/j.compedu.2013.07.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883330214&doi=10.1016%2fj.compedu.2013.07.033&partnerID=40&md5=c59201813e512caafa09a845ae63e111","Games; Meta-analysis; Simulations; Students learning outcomes; Virtual worlds","Games; Meta-analysis; Simulations; Students learning; Virtual worlds; Interactive computer graphics; Students; Virtual reality; Education computing",,Article,,Scopus
"54083268900;57211220464;56430594000;26646636200;56431128800;7003296071;","Current cigarette smoking among adults — United States, 2005–2013",2014,"Morbidity and Mortality Weekly Report",400,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912575738&partnerID=40&md5=2a3cecdb883a3206fa4869feeff61740",,"adolescent; adult; age distribution; aged; epidemiology; female; health survey; human; male; middle aged; prevalence; prevention and control; sex ratio; smoking; United States; young adult; Adolescent; Adult; Age Distribution; Aged; Female; Health Surveys; Humans; Male; Middle Aged; Prevalence; Sex Distribution; Smoking; United States; Young Adult",,Article,,Scopus
"36607704500;7201583471;7202841337;55938138700;7003380894;55938361700;","Leadership theory and research in the new millennium: Current theoretical trends and changing perspectives",2014,"Leadership Quarterly",398,"10.1016/j.leaqua.2013.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892553479&doi=10.1016%2fj.leaqua.2013.11.005&partnerID=40&md5=d7d4ed7d8828d83b29215a89165321bd","Content analysis; Global compositional and compilational forms of emergence; Leadership theory; Levels of analysis",,,Review,,Scopus
