Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2013);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
11;30039;"Journal of Personality and Social Psychology";journal;"00223514";5,517;Q1;351;134;459;10326;3384;429;6,96;77,06;United States;Northern America;"American Psychological Association Inc.";"1965-2020";"Social Psychology (Q1); Sociology and Political Science (Q1)"
12;16926;"American Journal of Sociology";journal;"00029602, 15375390";5,492;Q1;173;30;109;2874;588;102;5,18;95,80;United States;Northern America;"University of Chicago";"1946-1950, 1964-2019";"Sociology and Political Science (Q1)"
13;27162;"Journal of Business and Economic Statistics";journal;"07350015, 15372707";5,403;Q1;93;44;144;1413;434;136;3,19;32,11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2020";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
14;21203;"Long Range Planning";journal;"00246301, 18731872";5,320;Q1;96;25;84;1969;925;70;4,00;78,76;United Kingdom;Western Europe;"Elsevier Ltd.";"1968-2020";"Finance (Q1); Geography, Planning and Development (Q1); Strategy and Management (Q1)"
15;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";5,316;Q1;95;51;63;517;679;60;11,32;10,14;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
16;26362;"Journal of Peace Research";journal;"00223433";5,103;Q1;93;50;169;2576;750;167;3,93;51,52;United Kingdom;Western Europe;"SAGE Publications Ltd";"1964-2020";"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1)"
17;39139;"International Organization";journal;"15315088, 00208183";5,006;Q1;140;29;78;2130;312;74;3,78;73,45;United Kingdom;Western Europe;"Cambridge University Press";"1947-2020";"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
18;19684;"Criminology";journal;"17459125, 00111384";4,958;Q1;132;29;108;2237;546;102;4,71;77,14;United States;Northern America;"Wiley-Blackwell";"1963-2020";"Law (Q1); Pathology and Forensic Medicine (Q1)"
19;12442;"Progress in Human Geography";journal;"14770288, 03091325";4,735;Q1;138;61;164;4730;1109;154;6,38;77,54;United States;Northern America;"SAGE Publications Ltd";"1977-2020";"Geography, Planning and Development (Q1)"
20;22340;"Research on Language and Social Interaction";journal;"08351813, 15327973";4,699;Q1;55;18;58;752;184;57;2,92;41,78;United States;Northern America;"Routledge";"1987-1991, 1993-2020";"Communication (Q1); Linguistics and Language (Q1); Social Psychology (Q1)"
21;12481;"Journal of Engineering Education";journal;"10694730, 21689830";4,679;Q1;101;20;98;1203;577;92;6,39;60,15;United States;Northern America;"Wiley-Blackwell";"1969-1978, 1993-1995, 1997-2020";"Education (Q1); Engineering (miscellaneous) (Q1)"
22;23621;"Journal of Research in Science Teaching";journal;"10982736, 00224308";4,673;Q1;121;51;169;3490;800;160;4,32;68,43;United States;Northern America;"John Wiley and Sons Inc.";"1963-1967, 1969-2020";"Education (Q1)"
23;16512;"Review of Educational Research";journal;"00346543, 19351046";4,583;Q1;140;16;59;2110;458;47;9,83;131,88;United States;Northern America;"SAGE Publications Inc.";"1931-2020";"Education (Q1)"
24;28464;"Econometric Theory";journal;"02664666, 14694360";4,543;Q1;66;45;167;1437;273;160;1,32;31,93;United Kingdom;Western Europe;"Cambridge University Press";"1985-2020";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
25;23626;"Science Education";journal;"00368326, 1098237X";4,493;Q1;108;36;135;2292;575;132;4,03;63,67;United States;Northern America;"Wiley-Liss Inc.";"1930-2020";"Education (Q1); History and Philosophy of Science (Q1)"
26;29214;"Transactions of the Institute of British Geographers";journal;"00202754, 14755661";4,334;Q1;101;53;139;3677;841;125;5,73;69,38;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1976-2020";"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)"
27;15670;"Journal of Peasant Studies";journal;"03066150, 17439361";4,294;Q1;75;53;123;3516;1027;123;8,14;66,34;United Kingdom;Western Europe;"Routledge";"1973-2020";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1)"
28;25725;"World Politics";journal;"00438871, 10863338";4,243;Q1;106;20;60;1679;270;59;3,08;83,95;United Kingdom;Western Europe;"Cambridge University Press";"1948-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
29;20333;"Journal of Politics";journal;"14682508, 00223816";4,161;Q1;115;80;253;3685;657;249;2,11;46,06;United Kingdom;Western Europe;"University of Chicago Press";"1939-2020";"Sociology and Political Science (Q1)"
30;29432;"American Educational Research Journal";journal;"00028312, 19351011";4,011;Q1;112;43;109;2987;527;107;3,74;69,47;United States;Northern America;"SAGE Publications Ltd";"1978, 1982, 1986, 1996-2020";"Education (Q1)"
31;25835;"International Security";journal;"15314804, 01622889";4,009;Q1;103;30;94;2683;325;61;5,00;89,43;United States;Northern America;"MIT Press Journals";"1984, 1996-2020";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
32;13358;"Sociology of Education";journal;"00380407, 19398573";3,824;Q1;88;28;55;1035;223;54;3,37;36,96;United States;Northern America;"SAGE Publications Inc.";"1980, 1983, 1992, 1996-2020";"Education (Q1); Sociology and Political Science (Q1)"
33;14834;"Journal of Development Economics";journal;"03043878";3,760;Q1;133;112;260;4792;937;258;3,31;42,79;Netherlands;Western Europe;"Elsevier";"1974-2020";"Development (Q1); Economics and Econometrics (Q1)"
34;144974;"Journal of Service Research";journal;"10946705, 15527379";3,718;Q1;113;37;93;2379;608;89;3,30;64,30;United States;Northern America;"SAGE Publications Inc.";"1998-2020";"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
35;19726;"Educational Evaluation and Policy Analysis";journal;"01623737, 19351062";3,713;Q1;73;24;73;1126;209;71;2,77;46,92;United States;Northern America;"SAGE Publications Inc.";"1979-1982, 1996-2020";"Education (Q1)"
36;12872;"Cognitive Psychology";journal;"10955623, 00100285";3,603;Q1;114;22;70;1620;357;68;3,95;73,64;United States;Northern America;"Academic Press Inc.";"1970-2020";"Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)"
37;36483;"Global Environmental Change";journal;"09593780, 18729495";3,590;Q1;162;166;304;11691;2856;282;8,59;70,43;Netherlands;Western Europe;"Elsevier Ltd.";"1990-2020";"Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1)"
38;14238;"College and Research Libraries";journal;"00100870, 21506701";3,547;Q1;50;40;114;1456;288;90;3,62;36,40;United States;Northern America;"Association of College and Research Libraries";"1946-1947, 1987-2020";"Library and Information Sciences (Q1)"
39;13354;"Journal of Teacher Education";journal;"00224871, 15527816";3,530;Q1;84;40;113;1530;515;94;3,96;38,25;United States;Northern America;"SAGE Publications Inc.";"1950-2020";"Education (Q1)"
40;28964;"Journal of Applied Econometrics";journal;"10991255, 08837252";3,499;Q1;92;55;159;1980;396;155;1,83;36,00;United States;Northern America;"John Wiley and Sons Ltd";"1986-2020";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
41;15823;"Journal of Public Administration Research and Theory";journal;"14779803, 10531858";3,469;Q1;105;37;150;2534;552;142;3,92;68,49;United Kingdom;Western Europe;"Oxford University Press";"1991-2020";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
42;24406;"Journal of Urban Economics";journal;"10959068, 00941190";3,460;Q1;102;46;140;1806;433;135;2,46;39,26;United States;Northern America;"Academic Press Inc.";"1974-2020";"Economics and Econometrics (Q1); Urban Studies (Q1)"
43;27663;"Journal of Conflict Resolution";journal;"00220027";3,448;Q1;101;44;122;2240;300;120;1,98;50,91;United States;Northern America;"SAGE Publications Inc.";"1957-2020";"Business, Management and Accounting (miscellaneous) (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
44;21100841770;"Global Journal of Emerging Market Economies";journal;"09749101, 09752730";3,427;Q1;8;15;49;287;19;38;0,40;19,13;United States;Northern America;"SAGE Publications Inc.";"2009-2020";"Business and International Management (Q1); Development (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1)"
45;24456;"Child Development";journal;"14678624, 00093920";3,418;Q1;243;147;423;8277;2736;413;5,00;56,31;United States;Northern America;"Wiley-Blackwell Publishing Ltd";"1945-1948, 1950-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Pediatrics, Perinatology and Child Health (Q1); Social Work (Q1)"
46;30020;"Journal of Organizational Behavior";journal;"10991379, 08943796";3,412;Q1;164;73;201;5667;1055;168;4,63;77,63;United States;Northern America;"John Wiley and Sons Ltd";"1981-1982, 1984-2020";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)"
47;21681;"University of Pennsylvania Law Review";journal;"19428537, 00419907";3,264;Q1;56;42;131;4312;305;104;2,44;102,67;United States;Northern America;"University of Pennsylvania Law School";"1974, 1977-1978, 1986, 1989-1990, 1992-1993, 1996-2020";"Law (Q1)"
48;13455;"Learning and Instruction";journal;"09594752";3,252;Q1;108;52;158;2736;832;143;4,65;52,62;United Kingdom;Western Europe;"Elsevier BV";"1991-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
49;20892;"Transportation Research Part B: Methodological";journal;"01912615";3,223;Q1;130;131;301;4935;1567;294;4,95;37,67;United Kingdom;Western Europe;"Elsevier Ltd.";"1979-2020";"Civil and Structural Engineering (Q1); Management Science and Operations Research (Q1); Transportation (Q1)"
50;15653;"Journal of Marriage and Family";journal;"17413737, 00222445";3,216;Q1;152;89;252;4891;1105;243;2,50;54,96;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-1978, 1980-1981, 1985, 1996-2020";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1)"
51;18110;"Sociological Theory";journal;"07352751, 14679558";3,213;Q1;72;16;48;1584;232;48;4,00;99,00;United States;Northern America;"SAGE Publications Ltd";"1996-2020";"Sociology and Political Science (Q1)"
52;16232;"British Journal of Political Science";journal;"00071234, 14692112";3,196;Q1;91;69;122;5926;326;107;2,57;85,88;United Kingdom;Western Europe;"Cambridge University Press";"1971-2020";"Sociology and Political Science (Q1)"
53;19751;"Stanford Law Review";journal;"00389765";3,180;Q1;65;29;86;6778;258;71;3,09;233,72;United States;Northern America;"Stanford Law School";"1974-1976, 1978-1979, 1987-1994, 1996-2020";"Law (Q1); Medicine (miscellaneous) (Q1)"
54;4700152248;"Educational Research Review";journal;"1747938X";3,148;Q1;57;30;43;2395;338;39;5,88;79,83;Netherlands;Western Europe;"Elsevier Ltd.";"2006-2020";"Education (Q1)"
55;5800194481;"Educational Researcher";journal;"0013189X";3,107;Q1;118;52;159;2069;683;136;4,10;39,79;United States;Northern America;"SAGE Publications Inc.";"1972-2020";"Education (Q1)"
56;1000147124;"European Union Politics";journal;"17412757, 14651165";3,099;Q1;63;29;88;1467;235;85;2,49;50,59;United States;Northern America;"SAGE Publications Ltd";"2000-2020";"Demography (Q1); Health (social science) (Q1); Political Science and International Relations (Q1)"
57;22832;"Political Behavior";journal;"01909320, 15736687";3,085;Q1;63;37;91;2203;235;90;1,50;59,54;United States;Northern America;"Springer New York";"1979-2020";"Sociology and Political Science (Q1)"
58;26365;"Demography";journal;"00703370, 15337790";3,079;Q1;124;110;196;5031;696;192;3,12;45,74;United States;Northern America;"Springer New York";"1964-2020";"Demography (Q1)"
59;28092;"Economic Geography";journal;"00130095";3,066;Q1;79;18;56;1283;261;52;3,81;71,28;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1972, 1974, 1978-1985, 1987-2020";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1)"
60;26239;"Quaternary Science Reviews";journal;"02773791";3,062;Q1;173;334;851;29394;4736;820;5,12;88,01;United Kingdom;Western Europe;"Elsevier Ltd.";"1982-2020";"Archeology (Q1); Archeology (arts and humanities) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Geology (Q1); Global and Planetary Change (Q1)"
61;15574;"Information Systems Research";journal;"15265536, 10477047";3,060;Q1;151;63;184;4437;1066;174;4,88;70,43;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1990-2019";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)"
62;23574;"Public Opinion Quarterly";journal;"0033362X, 15375331";3,043;Q1;100;42;141;1418;444;134;2,88;33,76;United Kingdom;Western Europe;"Oxford University Press";"1937-2019";"Communication (Q1); History (Q1); History and Philosophy of Science (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
63;12857;"Cognition";journal;"18737838, 00100277";3,013;Q1;179;181;476;8763;2260;466;4,14;48,41;Netherlands;Western Europe;"Elsevier";"1972-1974, 1976-2020";"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
64;19700201158;"Studies in Science Education";journal;"19408412, 03057267";3,000;Q1;42;6;19;640;76;19;3,17;106,67;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-2020";"Education (Q1)"
65;20444;"Legislative Studies Quarterly";journal;"03629805, 19399162";2,956;Q1;51;25;75;1073;108;63;1,64;42,92;United States;Northern America;"Wiley-Blackwell";"1996-2020";"Sociology and Political Science (Q1)"
66;19900191605;"WIREs Climate Change";journal;"17577799, 17577780";2,955;Q1;65;44;190;3644;1128;171;6,15;82,82;United States;Northern America;"John Wiley and Sons Inc.";"2010-2020";"Atmospheric Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1)"
67;14316;"Harvard Law Review";journal;"0017811X";2,940;Q1;76;106;146;14501;323;99;3,56;136,80;United States;Northern America;"Harvard Law Review Association";"1973-2020";"Law (Q1)"
68;12808;"Journal of Educational Psychology";journal;"19392176, 00220663";2,912;Q1;196;88;215;5894;1101;212;3,96;66,98;United States;Northern America;"American Psychological Association Inc.";"1910-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
69;13357;"Journal of the Learning Sciences";journal;"10508406, 15327809";2,904;Q1;89;21;54;1241;261;48;4,29;59,10;United States;Northern America;"Routledge";"1991-1992, 1994-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
70;40751;"Evolutionary Anthropology";journal;"15206505, 10601538";2,886;Q1;81;40;87;2016;306;65;4,21;50,40;United States;Northern America;"Wiley-Liss Inc.";"1992-2020";"Anthropology (Q1); Medicine (miscellaneous) (Q1)"
71;22750;"Journal of Economic Geography";journal;"14682702, 14682710";2,881;Q1;96;42;132;3335;591;129;4,02;79,40;United Kingdom;Western Europe;"Oxford University Press";"2001-2020";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1)"
72;20738;"Review of Higher Education";journal;"01625748, 10907009";2,848;Q1;58;18;64;1029;131;62;1,72;57,17;United States;Northern America;"Johns Hopkins University Press";"1996-2019";"Education (Q1)"
73;67863;"Party Politics";journal;"13540688, 14603683";2,845;Q1;68;46;118;2282;254;116;1,78;49,61;United States;Northern America;"SAGE Publications Ltd";"1995-2020";"Sociology and Political Science (Q1)"
74;12841;"Clinical Child and Family Psychology Review";journal;"15732827, 10964037";2,843;Q1;95;27;60;2133;433;59;6,10;79,00;United States;Northern America;"Kluwer Academic Publishers";"1998-2020";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
75;3900148216;"Studies in Second Language Acquisition";journal;"02722631";2,795;Q1;58;26;59;1633;195;59;2,75;62,81;United Kingdom;Western Europe;"Cambridge University Press";"1978-1996, 2005-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
76;96592;"Journal of Agrarian Change";journal;"14710366, 14710358";2,791;Q1;52;28;79;1642;328;77;3,25;58,64;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2001-2020";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Global and Planetary Change (Q1)"
77;27364;"Population and Development Review";journal;"17284457, 00987921";2,781;Q1;91;55;114;2089;386;86;3,90;37,98;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1976-2020";"Demography (Q1); Development (Q1); Sociology and Political Science (Q1)"
78;10300153306;"International Journal of Press/Politics";journal;"19401612";2,757;Q1;59;25;78;1170;236;74;3,06;46,80;United States;Northern America;"SAGE Publications Inc.";"2003, 2008-2020";"Communication (Q1); Sociology and Political Science (Q1)"
79;18437;"European Journal of Political Research";journal;"03044130, 14756765";2,741;Q1;90;34;170;1694;362;132;1,96;49,82;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2020";"Sociology and Political Science (Q1)"
80;25848;"International Studies Quarterly";journal;"14682478, 00208833";2,734;Q1;95;69;174;4329;423;169;2,10;62,74;United Kingdom;Western Europe;"Oxford University Press";"1978, 1985, 1989-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
81;15298;"Structural Equation Modeling";journal;"15328007, 10705511";2,704;Q1;91;34;100;1392;250;96;2,18;40,94;United States;Northern America;"Psychology Press Ltd";"1994-2020";"Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Modeling and Simulation (Q1); Sociology and Political Science (Q1)"
82;20388;"Justice Quarterly";journal;"17459109, 07418825";2,691;Q1;85;44;102;2838;316;99;2,54;64,50;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1984-2020";"Law (Q1); Pathology and Forensic Medicine (Q1)"
83;22856;"Yale Law Journal";journal;"00440094";2,691;Q1;73;67;150;13390;302;125;2,56;199,85;United States;Northern America;"Yale Law Journal";"1973-1975, 1977-1979, 1981, 1983, 1985-1991, 1994, 1996-2020";"Law (Q1)"
84;13933;"Journal of Regional Science";journal;"14679787, 00224146";2,673;Q1;74;39;124;1792;435;122;2,75;45,95;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1958-2020";"Development (Q1); Environmental Science (miscellaneous) (Q1)"
85;26878;"Journal of Population Economics";journal;"14321475, 09331433";2,661;Q1;68;61;161;2617;330;154;1,96;42,90;Germany;Western Europe;"Springer New York";"1988-2020";"Demography (Q1); Economics and Econometrics (Q1)"
86;20910;"Transportation Science";journal;"15265447, 00411655";2,657;Q1;106;39;103;1369;390;103;3,46;35,10;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-1993, 1995-2019";"Civil and Structural Engineering (Q1); Transportation (Q1)"
87;25005;"Natural Language Semantics";journal;"0925854X";2,649;Q1;39;12;39;635;75;38;1,72;52,92;Netherlands;Western Europe;"Springer Netherlands";"1992-1993, 1995-2002, 2004-2020";"Linguistics and Language (Q1); Philosophy (Q1)"
88;13274;"Environment and Planning D: Society and Space";journal;"02637758, 14723433";2,637;Q1;100;69;210;4387;737;197;2,60;63,58;United Kingdom;Western Europe;"SAGE Publications Inc.";"1983-2020";"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1)"
89;16055;"Reading Research Quarterly";journal;"00340553";2,605;Q1;86;23;59;1443;244;53;3,78;62,74;United States;Northern America;"Wiley-Blackwell";"1996-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
90;15613;"Journal of Communication";journal;"00219916, 14602466";2,584;Q1;122;57;155;3022;670;154;3,79;53,02;United States;Northern America;"Wiley-Blackwell";"1951-2019";"Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
91;14427;"European Sociological Review";journal;"02667215, 14682672";2,554;Q1;81;97;145;4366;541;144;2,66;45,01;United Kingdom;Western Europe;"Oxford University Press";"1985-2019";"Sociology and Political Science (Q1)"
92;13934;"Journal of the American Planning Association";journal;"01944363";2,552;Q1;90;26;91;954;341;80;2,13;36,69;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1935-2020";"Development (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)"
93;27470;"Antipode";journal;"00664812, 14678330";2,545;Q1;95;75;224;4611;748;208;2,86;61,48;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1969-2020";"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)"
94;20377;"Journal of Quantitative Criminology";journal;"07484518, 15737799";2,545;Q1;77;24;89;1704;227;78;2,13;71,00;Netherlands;Western Europe;"Springer New York";"1985-2020";"Law (Q1); Pathology and Forensic Medicine (Q1)"
95;14811;"Journal of Sustainable Tourism";journal;"09669582, 17477646";2,545;Q1;93;66;169;4775;756;163;3,58;72,35;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1993-2020";"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1)"
96;13143;"Columbia Law Review";journal;"00101958";2,537;Q1;63;46;134;3446;252;109;2,17;74,91;United States;Northern America;"Columbia Law Review Association";"1973-1981, 1984, 1987-1988, 1990, 1992-2020";"Law (Q1)"
97;30718;"Annals of Tourism Research";journal;"01607383";2,519;Q1;158;100;269;6005;1153;260;4,06;60,05;United Kingdom;Western Europe;"Elsevier Ltd.";"1973-2020";"Development (Q1); Tourism, Leisure and Hospitality Management (Q1)"
98;13500;"Developmental Psychology";journal;"19390599, 00121649";2,519;Q1;203;208;477;8971;2092;437;4,26;43,13;United States;Northern America;"American Psychological Association Inc.";"1969-2020";"Demography (Q1); Developmental and Educational Psychology (Q1); Life-span and Life-course Studies (Q1)"
99;14929;"Global Networks";journal;"14710374, 14702266";2,509;Q1;61;30;82;1508;336;82;2,35;50,27;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2004-2020";"Social Sciences (miscellaneous) (Q1)"
100;13447;"Comparative Political Studies";journal;"15523829, 00104140";2,498;Q1;102;58;165;3013;468;164;2,08;51,95;United States;Northern America;"SAGE Publications Inc.";"1968-2020";"Sociology and Political Science (Q1)"
101;17600155103;"Living Reviews in European Governance";journal;"1813856X";2,489;Q1;11;1;8;319;35;8;4,75;319,00;Austria;Western Europe;"Institute for Advanced Studies, Department of Political Science";"2009-2015";"Political Science and International Relations (Q1)"
102;17649;"Communication Research";journal;"00936502, 15523810";2,467;Q1;100;35;108;2099;398;108;3,03;59,97;United States;Northern America;"SAGE Publications Inc.";"1974-2020";"Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
103;17645;"Computers and Education";journal;"03601315";2,463;Q1;164;289;753;14844;4675;743;5,70;51,36;United Kingdom;Western Europe;"Elsevier Ltd.";"1976-2020";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)"
104;16965;"Internet and Higher Education";journal;"10967516";2,455;Q1;81;36;116;1813;703;108;4,97;50,36;United Kingdom;Western Europe;"Elsevier BV";"1998-2020";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)"
105;21149;"Leadership Quarterly";journal;"10489843";2,439;Q1;144;64;245;5988;1004;219;3,49;93,56;United Kingdom;Western Europe;"Elsevier Inc.";"1990-2020";"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
106;15107;"IEEE Transactions on Information Theory";journal;"00189448, 15579654";2,423;Q1;260;561;1565;17006;7344;1544;4,24;30,31;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2020";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)"
107;19900191620;"Engineering Studies";journal;"19378629, 19408374";2,413;Q1;19;20;37;677;65;32;1,77;33,85;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2020";"Education (Q1); Engineering (miscellaneous) (Q1); History and Philosophy of Science (Q1)"
108;22087;"Theoretical Criminology";journal;"14617439, 13624806";2,411;Q1;69;31;83;1782;265;79;3,17;57,48;United Kingdom;Western Europe;"SAGE Publications Ltd";"1997-2020";"Law (Q1); Pathology and Forensic Medicine (Q1); Sociology and Political Science (Q1)"
