Source title,Publisher
IEEE Intelligent Transportation Systems Magazine,IEEE
IEEE Computer Graphics and Applications,IEEE
IEEE Transactions on Network and Service Management,IEEE
IEEE Embedded Systems Letters,IEEE
IT Professional,IEEE
International Journal of Data Warehousing and Mining,IGI Global Publishing
International Journal of Human Capital and Information Technology Professionals,IGI Global Publishing
Journal of Database Management,IGI Global Publishing
International Journal of Enterprise Information Systems,IGI Global Publishing
International Journal of Fuzzy System Applications,IGI Global Publishing
International Journal of Intelligent Information Technologies,IGI Global Publishing
Semantic Web and Information Systems,IGI Global Publishing
International Journal of Information System Modeling and Design,IGI Global Publishing
International Journal of Agricultural and Environmental Information Systems,IGI Global Publishing
International Journal of Cognitive Informatics and Natural Intelligence,IGI Global Publishing
International Journal of Web Services Research,IGI Global Publishing
Journal of Organizational and End User Computing,IGI Global Publishing
International Journal of Electronic Government Research,IGI Global Publishing
Journal of Global Information Management,IGI Global Publishing
International Journal of Mechatronics and Automation,Inderscience
International Journal of Bio-Inspired Computation,Inderscience
International Journal of Sensor Networks,Inderscience
International Journal of Security and Networks,Inderscience
International Journal of Web and Grid Services,Inderscience
International Journal of Mathematical Modelling and Numerical Optimisation,Inderscience
Electronic Government,Inderscience
International Journal of Agile Systems and Management,Inderscience
"International Journal of Modelling, Identification and Control",Inderscience
International Journal of Mathematics in Operational Research,Inderscience
International Journal of Wireless and Mobile Computing,Inderscience
International Journal of Ad Hoc and Ubiquitous Computing,Inderscience
International Journal of Technology Management,Inderscience
International Journal of Manufacturing Research,Inderscience
International Journal of Mobile Learning and Organisation,Inderscience
"Interdisciplinary Journal of Information, Knowledge, and Management",Informing Science Institute
"Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications",Innovative Information Science & Technology Research Group (ISYOU)
Information Systems Research,Institute for Operations Research and the Management Sciences
Operations Research,Institute for Operations Research and the Management Sciences
INFORMS Journal on Computing,Institute for Operations Research and the Management Sciences
Mathematics of Operations Research,Institute for Operations Research and the Management Sciences
Statistics Surveys,Institute of Mathematical Statistics
Annals of Statistics,Institute of Mathematical Statistics
Statistical Science,Institute of Mathematical Statistics
Annals of Applied Statistics,Institute of Mathematical Statistics
Annals of Applied Probability,Institute of Mathematical Statistics
Annals of Probability,Institute of Mathematical Statistics
Probability Surveys,Institute of Mathematical Statistics
Annales de l'institut Henri Poincare (B) Probability and Statistics,Institute of Mathematical Statistics
Dissertationes Mathematicae,"Institute of Mathematics, Polish Academy of Sciences"
Smart Materials and Structures,Institute of Physics Publishing
Journal of Statistical Mechanics: Theory and Experiment,Institute of Physics Publishing
Inverse Problems,Institute of Physics Publishing
Journal of Physics A: Mathematical and Theoretical,Institute of Physics Publishing
Measurement Science and Technology,Institute of Physics Publishing
Modelling and Simulation in Materials Science and Engineering,Institute of Physics Publishing
Journal of Instrumentation,Institute of Physics Publishing
Nonlinearity,Institute of Physics Publishing
Physica Scripta,Institute of Physics Publishing
IET Control Theory and Applications,Institution of Engineering and Technology
IET Systems Biology,Institution of Engineering and Technology
IET Computer Vision,Institution of Engineering and Technology
IET Communications,Institution of Engineering and Technology
IET Signal Processing,Institution of Engineering and Technology
IET Software,Institution of Engineering and Technology
IET Information Security,Institution of Engineering and Technology
ISA Transactions,Instrument Society of America
IAENG International Journal of Computer Science,International Association of Engineers
International Journal of Advances in Soft Computing and its Applications,International Center for Scientific Research and Studies (ICSRS)
Communications in Mathematical Sciences,"International Press of Boston, Inc."
Advances in Theoretical and Mathematical Physics,"International Press of Boston, Inc."
Communications in Number Theory and Physics,"International Press of Boston, Inc."
Journal of Differential Geometry,"International Press of Boston, Inc."
Journal of Environmental Informatics,International Society for Environmental Information Sciences
Semantic Web,IOS Press
Argument and Computation,IOS Press
Integrated Computer-Aided Engineering,IOS Press
Journal of Computer Security,IOS Press
AI Communications,IOS Press
Journal of Ambient Intelligence and Smart Environments,IOS Press
Applied Ontology,IOS Press
Informatica,IOS Press
Information Polity,IOS Press
Fundamenta Informaticae,IOS Press
Interaction Studies,John Benjamins Publishing Company
American Journal of Mathematics,Johns Hopkins University Press
Topological Methods in Nonlinear Analysis,Juliusz Schauder Center
Information Technology and Control,Kaunas University of Technology
Electronic Transactions on Numerical Analysis,Kent State University
"International Journal of Control, Automation and Systems",Korean Institute of Electrical Engineers
Journal of Korean Institute of Metals and Materials,Korean Institute of Metals and Materials
Journal of Information Technology in Construction,Kungliga Tenkniska Hoegskolan/Royal Institute of technology
"International Journal of Innovative Computing, Information and Control",Kyushu Tokai University
Evolutionary Bioinformatics,Libertas Academica
Bioinformatics and Biology Insights,Libertas Academica
Gene Regulation and Systems Biology,Libertas Academica
"Cyberpsychology, Behavior, and Social Networking",Mary Ann Liebert
Journal of Computational Biology,Mary Ann Liebert
Communications in Applied Mathematics and Computational Science,Mathematical Sciences Publishers
Evolutionary Computation,MIT Press
Journal of Machine Learning Research,MIT Press
Computational Linguistics,MIT Press
Artificial Life,MIT Press
Presence: Teleoperators and Virtual Environments,MIT Press
"Eurasia Journal of Mathematics, Science and Technology Education",Modestum Ltd.
Future Internet,Multidisciplinary Digital Publishing Institute (MDPI)
Sensors,Multidisciplinary Digital Publishing Institute (MDPI)
Symmetry,Multidisciplinary Digital Publishing Institute (MDPI)
International Journal of Molecular Sciences,Multidisciplinary Digital Publishing Institute (MDPI)
Energies,Multidisciplinary Digital Publishing Institute (MDPI)
Entropy,Multidisciplinary Digital Publishing Institute (MDPI)
Dianli Xitong Zidonghua/Automation of Electric Power Systems,Nanjing Zidonghua Yanjiusuo/Nanjing Automation Research Institute
Journal of Interactive Online Learning,National Center for Online Learning Research
Journal for Research in Mathematics Education,National Council of Teachers of Mathematics
Studies in Informatics and Control,National Institute for R & D in Informatics
Journal of Information Hiding and Multimedia Signal Processing,National Kaohsiung University of Applied Sciences
International Journal of Design,National Taiwan University of Science and Technology
Foundations and Trends in Machine Learning,Now Publishers Inc.
Foundations and Trends in Information Retrieval,Now Publishers Inc.
Foundations and Trends in Communications and Information Theory,Now Publishers Inc.
Foundations and Trends in Human-Computer Interaction,Now Publishers Inc.
Foundations and Trends in Signal Processing,Now Publishers Inc.
Foundations and Trends in Databases,Now Publishers Inc.
Foundations and Trends in Theoretical Computer Science,Now Publishers Inc.
Journal of Multiple-Valued Logic and Soft Computing,Old City Publishing Inc.
Journal of Optical Communications and Networking,Optical Society of America
"Journal of the Optical Society of America A: Optics and Image Science, and Vision",Optical Society of America
Bioinformatics,Oxford University Press
Briefings in Bioinformatics,Oxford University Press
Database : the journal of biological databases and curation,Oxford University Press
Interacting with Computers,Oxford University Press
Biostatistics,Oxford University Press
GigaScience,Oxford University Press
Biometrika,Oxford University Press
Mathematical Medicine and Biology,Oxford University Press
Computer Journal,Oxford University Press
IMA Journal of Numerical Analysis,Oxford University Press
Journal of Logic and Computation,Oxford University Press
Quarterly Journal of Mechanics and Applied Mathematics,Oxford University Press
International Mathematics Research Notices,Oxford University Press
IMA Journal of Applied Mathematics,Oxford University Press
IMA Journal of Mathematical Control and Information,Oxford University Press
International Journal of Prognostics and Health Management,PHM Society
Russian Journal of Mathematical Physics,Pleiades Publishing
"P-Adic Numbers, Ultrametric Analysis, and Applications",Pleiades Publishing
Mathematical Models and Computer Simulations,Pleiades Publishing
Bulletin of the Polish Academy of Sciences: Technical Sciences,Polish Academy of Sciences
International Journal on Communications Antenna and Propagation,Praise Worthy Prize
International Review on Modelling and Simulations,Praise Worthy Prize
Annals of Mathematics,Princeton University Press
PLoS Computational Biology,Public Library of Science
Quantum Information and Computation,"Rinton Press, Inc."
Acta Mathematica,Royal Swedish Academy of Sciences
International Journal of Robotics Research,SAGE
Journal of Service Research,SAGE
Science Technology and Human Values,SAGE
Statistical Methods in Medical Research,SAGE
International Journal of High Performance Computing Applications,SAGE
Information Visualization,SAGE
Social Science Computer Review,SAGE
Journal of Information Science,SAGE
Adaptive Behavior,SAGE
Games and Culture,SAGE
Educational and Psychological Measurement,SAGE
Journal of Strain Analysis for Engineering Design,SAGE
Simulation and Gaming,SAGE
Perception,SAGE
i-Perception,SAGE
Journal of Educational Computing Research,SAGE
Simulation,SAGE
Mathematics and Mechanics of Solids,SAGE
Statistical Modelling,SAGE
Zidonghua Xuebao/Acta Automatica Sinica,Science Press
Journal of Systems Engineering and Electronics,Science Press
Jisuanji Xuebao/Chinese Journal of Computers,Science Press
"Nonlinear Dynamics, Psychology, and Life Sciences",Society for Chaos Theory in Psychology & Life Sciences
SIAM Review,Society for Industrial and Applied Mathematics
SIAM Journal on Imaging Sciences,Society for Industrial and Applied Mathematics
SIAM Journal on Optimization,Society for Industrial and Applied Mathematics
SIAM Journal of Scientific Computing,Society for Industrial and Applied Mathematics
Multiscale Modeling and Simulation,Society for Industrial and Applied Mathematics
SIAM Journal on Computing,Society for Industrial and Applied Mathematics
SIAM Journal on Numerical Analysis,Society for Industrial and Applied Mathematics
SIAM Journal on Control and Optimization,Society for Industrial and Applied Mathematics
SIAM Journal on Applied Dynamical Systems,Society for Industrial and Applied Mathematics
SIAM Journal on Mathematical Analysis,Society for Industrial and Applied Mathematics
SIAM Journal on Matrix Analysis and Applications,Society for Industrial and Applied Mathematics
SIAM Journal on Applied Mathematics,Society for Industrial and Applied Mathematics
SIAM Journal on Financial Mathematics,Society for Industrial and Applied Mathematics Publications
Journal of Ship Research,Society of Naval Architects and Marine Engineers
Journal of Electronic Imaging,SPIE
International Journal of Computer Vision,Springer Nature
NPG Asia Materials,Springer Nature
Archives of Computational Methods in Engineering,Springer Nature
User Modeling and User-Adapted Interaction,Springer Nature
International Journal of Machine Learning and Cybernetics,Springer Nature
Data Mining and Knowledge Discovery,Springer Nature
Autonomous Robots,Springer Nature
Biology Direct,Springer Nature
International Journal of Computer-Supported Collaborative Learning,Springer Nature
Journal of Information Technology,Springer Nature
Requirements Engineering,Springer Nature
Journal of Internet Services and Applications,Springer Nature
BMC Bioinformatics,Springer Nature
Empirical Software Engineering,Springer Nature
Artificial Intelligence Review,Springer Nature
BMC Systems Biology,Springer Nature
Automated Software Engineering,Springer Nature
VLDB Journal,Springer Nature
Genetic Programming and Evolvable Machines,Springer Nature
Machine Learning,Springer Nature
Human-centric Computing and Information Sciences,Springer Nature
Journal of Cryptology,Springer Nature
Vascular Cell,Springer Nature
Biomechanics and Modeling in Mechanobiology,Springer Nature
Mathematical Programming Computation,Springer Nature
Journal of Computer-Aided Molecular Design,Springer Nature
Knowledge and Information Systems,Springer Nature
Software and Systems Modeling,Springer Nature
Information Retrieval,Springer Nature
Molecular Diversity,Springer Nature
Neuroinformatics,Springer Nature
Letters in Mathematical Physics,Springer Nature
Structural and Multidisciplinary Optimization,Springer Nature
Autonomous Agents and Multi-Agent Systems,Springer Nature
Computer Supported Cooperative Work,Springer Nature
Journal of Biomedical Semantics,Springer Nature
Biological Cybernetics,Springer Nature
International Journal of Health Geographics,Springer Nature
Multibody System Dynamics,Springer Nature
Foundations of Computational Mathematics,Springer Nature
Journal of Mathematical Imaging and Vision,Springer Nature
Mathematical Programming,Springer Nature
Scientometrics,Springer Nature
Evolving Systems,Springer Nature
Constraints,Springer Nature
Fixed Point Theory and Applications,Springer Nature
Personal and Ubiquitous Computing,Springer Nature
International Journal of Social Robotics,Springer Nature
Mobile Networks and Applications,Springer Nature
Archive for Rational Mechanics and Analysis,Springer Nature
Computational Mechanics,Springer Nature
International Journal on Document Analysis and Recognition,Springer Nature
Inventiones Mathematicae,Springer Nature
International Journal of Artificial Intelligence in Education,Springer Nature
Medical and Biological Engineering and Computing,Springer Nature
Nonlinear Dynamics,Springer Nature
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,Springer Nature
World Wide Web,Springer Nature
Algorithms for Molecular Biology,Springer Nature
Journal of Grid Computing,Springer Nature
Journal of Heuristics,Springer Nature
Swarm Intelligence,Springer Nature
Celestial Mechanics and Dynamical Astronomy,Springer Nature
New Generation Computing,Springer Nature
Applied Intelligence,Springer Nature
Fuzzy Optimization and Decision Making,Springer Nature
