Source title,CiteScore,Highest percentile,2010-13 Citations,2010-13 Documents,% Cited,SNIP,SJR,Publisher,ISSN
Studies in Mycology,14.8,"98.0%
6/362
Plant Science",683,46,100,4.725,3.786,Westerdijk Fungal Biodiversity Institute,1660616
Plant Cell,14.7,"98.0%
7/362
Plant Science",19364,1318,83,2.269,6.213,American Society of Plant Biologists,10404651
Ecological Monographs,14.4,"98.0%
8/504
Ecology, Evolution, Behavior and Systematics",1584,110,88,3.047,5.384,Wiley-Blackwell,129615
Current Biology,13.9,"97.0%
5/157
General Agricultural and Biological Sciences",22649,1626,84,2.252,4.896,Elsevier,9609822
Mutation Research - Reviews in Mutation Research,13.4,"97.0%
3/100
Health, Toxicology and Mutagenesis",1531,114,88,2.083,3.305,Elsevier,13835742
Philosophical Transactions of the Royal Society B: Biological Sciences,13.3,"96.0%
6/157
General Agricultural and Biological Sciences",17399,1310,99,2.207,3.81,The Royal Society,08004622 09628436
Global Change Biology,13.2,"99.0%
1/183
General Environmental Science",15308,1164,88,2.652,4.634,Wiley-Blackwell,13541013
Particle and Fibre Toxicology,12.9,"97.0%
3/111
Toxicology",2316,180,73,2.591,2.857,Springer Nature,17438977
Plant Physiology,12.9,"97.0%
8/362
Plant Science",25797,2000,89,2.07,4.213,American Society of Plant Biologists,320889
Molecular Ecology Resources,12.7,"98.0%
10/504
Ecology, Evolution, Behavior and Systematics",6903,542,84,2.943,3.496,Wiley-Blackwell,1755098X
Plant Journal,12.7,"97.0%
9/362
Plant Science",17700,1395,90,1.823,4.426,Wiley-Blackwell,9607412
Frontiers in Ecology and the Environment,12.5,"99.0%
3/282
Ecology",3042,244,82,2.767,4.245,Wiley-Blackwell,15409295
Gondwana Research,12.1,"99.0%
1/200
Geology",6698,552,94,2.333,3.898,Elsevier,1342937X
Quarterly Review of Biology,12,"95.0%
7/157
General Agricultural and Biological Sciences",481,40,73,2.403,3.476,University of Chicago Press,335770
Environmental Health Perspectives,11.9,"98.0%
6/438
Public Health, Environmental and Occupational Health",14073,1185,78,2.338,3.081,US Department of Health and Human Services,916765
PLoS Genetics,11.9,"97.0%
12/504
Ecology, Evolution, Behavior and Systematics",31183,2613,82,1.802,7.107,Public Library of Science,15537390
Earth-Science Reviews,11.8,"99.0%
2/167
General Earth and Planetary Sciences",3464,293,80,3.935,4.138,Elsevier,128252
Astrophysical Journal Letters,11.7,"92.0%
6/76
Space and Planetary Science",33058,2828,88,1.403,3.634,Institute of Physics Publishing,20418205
Green Chemistry,11.6,"97.0%
3/101
Pollution",18755,1617,85,1.805,2.28,Royal Society of Chemistry,14639262
Environmental Microbiology,11.4,"97.0%
13/504
Ecology, Evolution, Behavior and Systematics",10897,960,91,1.813,3.273,Wiley-Blackwell,14622912
Global Ecology and Biogeography,11.3,"98.0%
5/282
Ecology",4340,383,89,2.513,4.185,Wiley-Blackwell,1466822X
Nature Climate Change,11.3,"99.0%
1/197
Social Sciences (miscellaneous)",4058,358,81,4.273,5.871,Springer Nature,1758678X
New Phytologist,11.2,"97.0%
10/362
Plant Science",16493,1477,90,1.976,3.164,Wiley-Blackwell,0028646X
Plant Biotechnology Journal,11,"99.0%
1/291
Agronomy and Crop Science",4004,363,88,1.864,2.509,Wiley-Blackwell,14677644
Fish and Fisheries,10.9,"99.0%
1/221
Management, Monitoring, Policy and Law",1275,117,97,3.158,3.503,Wiley-Blackwell,14672960
Annual review of food science and technology,10.5,"99.0%
1/238
Food Science",904,86,86,2.866,2.525,Annual Reviews Inc.,19411413
Astrophysical Journal,10.5,"91.0%
7/76
Space and Planetary Science",114518,10915,86,1.425,3.541,Institute of Physics Publishing,0004637X
Bulletin of the American Meteorological Society,10.3,"99.0%
1/96
Atmospheric Science",4107,399,76,3.915,6.418,American Meteorological Society,30007
"Plant, Cell and Environment",10.3,"96.0%
12/362
Plant Science",6971,674,92,1.995,2.883,Wiley-Blackwell,1407791
Applied Catalysis B: Environmental,10.2,"99.0%
2/183
General Environmental Science",18559,1819,88,2.167,2.391,Elsevier,9263373
Molecular Plant,10.2,"96.0%
13/362
Plant Science",4455,438,90,1.74,3.423,Elsevier,16742052
Atmospheric Chemistry and Physics,10.1,"98.0%
2/96
Atmospheric Science",30015,2964,87,1.811,3.796,Copernicus,16807316
BMC Biology,10.1,"96.0%
17/504
Ecology, Evolution, Behavior and Systematics",2987,296,84,1.689,4.41,Springer Nature,17417007
MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,10.1,"98.0%
3/221
Health (social science)",1010,100,58,2.293,5.316,Centers for Disease Control and Prevention (CDC),15460738
ChemSusChem,10,"99.0%
1/58
General Energy",9421,939,79,1.456,2.561,Wiley-Blackwell,18645631
Fungal Diversity,9.8,"97.0%
7/282
Ecology",2284,234,86,2.806,2.637,Springer Nature,15602745
Proceedings of the Royal Society B: Biological Sciences,9.8,"98.0%
3/183
General Environmental Science",20256,2063,86,1.945,3.441,The Royal Society,9628452
Molecular Ecology,9.7,"96.0%
19/504
Ecology, Evolution, Behavior and Systematics",17451,1801,85,1.543,3.145,Wiley-Blackwell,9621083
Global Environmental Change,9.6,"99.0%
2/561
Geography, Planning and Development",4276,445,79,3.335,3.59,Elsevier,9593780
Journal of Virology,9.5,"94.0%
4/61
Virology",48877,5146,87,1.249,3.496,American Society for Microbiology,0022538X
Comprehensive Reviews in Food Science and Food Safety,9.3,"99.0%
2/238
Food Science",1146,123,76,4.172,2.396,Wiley-Blackwell,15414337
Critical Reviews in Plant Sciences,9.3,"95.0%
17/362
Plant Science",827,89,85,2.809,2.132,Taylor & Francis,7352689
Environmental International,9.3,"97.0%
5/183
General Environmental Science",5997,646,84,2.184,2.657,Elsevier,1604120
Journal of Experimental Botany,9.3,"95.0%
16/362
Plant Science",16270,1742,86,1.951,2.656,Oxford University Press,220957
Journal of Ecology,9.2,"96.0%
9/282
Ecology",5418,588,85,2.16,3.494,Wiley-Blackwell,220477
Space Science Reviews,9.2,"90.0%
8/76
Space and Planetary Science",3635,394,90,2.319,2.474,Springer Nature,386308
Diversity and Distributions,9.1,"95.0%
21/504
Ecology, Evolution, Behavior and Systematics",3947,434,85,1.943,3.047,Wiley-Blackwell,13669516
Journal of Hazardous Materials,9.1,"99.0%
1/97
Environmental Engineering",45090,4955,85,2.43,1.822,Elsevier,3043894
Journal of Toxicology and Environmental Health - Part B: Critical Reviews,9.1,"95.0%
6/111
Toxicology",746,82,83,1.671,1.615,Taylor & Francis,10937404
Bioresource Technology,9,"98.0%
2/97
Environmental Engineering",59819,6641,83,2.464,2.405,Elsevier,9608524
Critical Reviews in Food Science and Nutrition,9,"98.0%
3/238
Food Science",2519,280,84,2.372,2.072,Taylor & Francis,10408398
Monthly Notices of the Royal Astronomical Society,9,"88.0%
9/76
Space and Planetary Science",81091,9039,83,1.21,3.155,Oxford University Press,358711
Water Research,9,"99.0%
2/182
Water Science and Technology",22979,2540,83,2.68,2.956,Elsevier,431354
Environmental Science & Technology,8.9,"94.0%
21/366
General Chemistry",54674,6156,80,2.092,2.952,American Chemical Society,#N/A
Trends in Food Science and Technology,8.9,"98.0%
4/238
Food Science",2173,245,77,2.659,2.216,Elsevier,9242244
Applied Energy,8.8,"99.0%
1/224
Civil and Structural Engineering",23378,2665,83,3.316,3.06,Elsevier,3062619
Ecology,8.8,"95.0%
23/504
Ecology, Evolution, Behavior and Systematics",10252,1169,84,2.036,3.704,Wiley-Blackwell,129658
Journal of Animal Ecology,8.8,"99.0%
1/336
Animal Science and Zoology",4688,531,89,2.013,3.189,Wiley-Blackwell,218790
Remote Sensing of Environment,8.8,"99.0%
1/101
Soil Science",11029,1247,85,2.967,3.148,Elsevier,344257
Plant and Cell Physiology,8.7,"94.0%
19/362
Plant Science",6426,736,89,1.466,2.783,Oxford University Press,320781
Journal of Applied Ecology,8.6,"96.0%
10/282
Ecology",5287,618,85,2.202,3.055,Wiley-Blackwell,218901
Molecular Nutrition and Food Research,8.6,"98.0%
5/238
Food Science",6727,782,83,1.489,1.681,Wiley-Blackwell,16134125
Wiley Interdisciplinary Reviews: Climate Change,8.6,"99.0%
4/561
Geography, Planning and Development",1829,213,79,2.042,2.955,Wiley-Blackwell,17577780
Astronomy and Astrophysics,8.5,"87.0%
10/76
Space and Planetary Science",63575,7445,84,1.206,2.747,EDP Sciences,46361
Bulletin of the Geological Society of America,8.5,"98.0%
3/200
Geology",4042,477,86,2.154,2.991,Geological Society of America,167606
Conservation Biology,8.5,"99.0%
1/106
Nature and Landscape Conservation",4815,567,83,1.97,2.798,Wiley-Blackwell,8888892
Ecography,8.4,"94.0%
26/504
Ecology, Evolution, Behavior and Systematics",3982,475,86,1.745,2.78,Wiley-Blackwell,9067590
Functional Ecology,8.4,"95.0%
25/504
Ecology, Evolution, Behavior and Systematics",4829,574,89,1.784,2.707,Wiley-Blackwell,2698463
Molecular Plant-Microbe Interactions,8.4,"99.0%
2/291
Agronomy and Crop Science",4823,575,88,1.352,2.386,American Phytopathological Society,8940282
Ecological Applications,8.3,"95.0%
12/282
Ecology",6274,760,86,1.831,2.686,Wiley-Blackwell,10510761
Evolution; international journal of organic evolution,8.3,"94.0%
27/504
Ecology, Evolution, Behavior and Systematics",9786,1178,88,1.469,3.371,Wiley-Blackwell,143820
"Tellus, Series B: Chemical and Physical Meteorology",8.3,"96.0%
4/96
Atmospheric Science",1573,190,85,1.448,2.342,Taylor & Francis,2806509
Earth and Planetary Science Letters,8.2,"98.0%
2/103
Geochemistry and Petrology",17321,2119,85,1.721,3.613,Elsevier,0012821X
Quaternary Science Reviews,8.2,"99.0%
1/191
Archeology (arts and humanities)",9295,1132,85,1.77,3.062,Elsevier,2773791
Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis,8.1,"90.0%
10/100
Health, Toxicology and Mutagenesis",3504,434,84,1.2,1.8,Elsevier,13861964
Reviews of Environmental Contamination and Toxicology,8.1,"97.0%
10/438
Public Health, Environmental and Occupational Health",704,87,80,1.794,1.979,Springer Nature,1795953
Transactions of the Institute of British Geographers,8.1,"99.0%
1/125
Earth-Surface Processes",1401,173,86,3.077,4.334,Wiley-Blackwell,202754
Astronomical Journal,8,"84.0%
12/76
Space and Planetary Science",11496,1437,80,1.228,2.976,Institute of Physics Publishing,46256
Journal of Biogeography,8,"95.0%
14/282
Ecology",5839,726,86,1.66,2.408,Wiley-Blackwell,3050270
PLoS Computational Biology,8,"98.0%
3/213
Modeling and Simulation",15062,1878,79,1.531,3.467,Public Library of Science,1553734X
Cladistics,7.9,"93.0%
31/504
Ecology, Evolution, Behavior and Systematics",1175,148,86,2.435,2.237,Wiley-Blackwell,7483007
Conservation Letters,7.8,"98.0%
2/106
Nature and Landscape Conservation",1560,199,85,1.625,2.768,Wiley-Blackwell,1755263X
American Naturalist,7.7,"93.0%
33/504
Ecology, Evolution, Behavior and Systematics",5165,667,84,1.643,3.206,University of Chicago Press,30147
Archives of Toxicology,7.7,"94.0%
7/111
Toxicology",4049,527,87,1.459,1.281,Springer Nature,3405761
BioScience,7.7,"93.0%
11/157
General Agricultural and Biological Sciences",2696,352,71,2.563,2.78,Oxford University Press,63568
BMC Plant Biology,7.7,"94.0%
20/362
Plant Science",7230,945,77,1.534,2.074,Springer Nature,14712229
Environmental Modelling and Software,7.7,"97.0%
3/97
Environmental Engineering",5597,730,81,2.427,2.035,Elsevier,13648152
Geology,7.6,"97.0%
5/200
Geology",8773,1155,88,1.804,3.124,Geological Society of America,917613
IEEE Transactions on Geoscience and Remote Sensing,7.6,"98.0%
3/167
General Earth and Planetary Sciences",12308,1630,82,3.254,2.283,IEEE,1962892
Journal of Climate,7.6,"95.0%
5/96
Atmospheric Science",14866,1955,83,1.955,4.926,American Meteorological Society,8948755
Desalination,7.5,"98.0%
3/182
Water Science and Technology",17841,2380,85,2.152,1.732,Elsevier,119164
Molecular Phylogenetics and Evolution,7.5,"93.0%
34/504
Ecology, Evolution, Behavior and Systematics",9915,1320,86,1.838,1.963,Elsevier,10557903
Deep-Sea Research Part II: Topical Studies in Oceanography,7.4,"97.0%
3/109
Oceanography",5252,709,92,1.335,2.226,Elsevier,9670645
Molecular Plant Pathology,7.4,"99.0%
3/291
Agronomy and Crop Science",2379,320,87,1.626,2.096,Wiley-Blackwell,14646722
Surveys in Geophysics,7.4,"97.0%
3/103
Geochemistry and Petrology",1037,141,78,2.107,3.573,Springer Nature,1693298
Biological Conservation,7.3,"97.0%
3/106
Nature and Landscape Conservation",9581,1316,80,1.975,2.639,Elsevier,63207
Climate Dynamics,7.3,"94.0%
6/96
Atmospheric Science",8448,1159,85,1.66,3.567,Springer Nature,9307575
Precambrian Research,7.3,"97.0%
6/200
Geology",4968,682,81,1.783,3.129,Elsevier,3019268
Energy,7.2,"93.0%
4/58
General Energy",20868,2881,81,2.548,2.458,Elsevier,3605442
Journal of Integrative Plant Biology,7.2,"94.0%
22/362
Plant Science",2511,349,84,1.184,1.731,Wiley-Blackwell,16729072
Journal of Petrology,7.2,"96.0%
4/94
Geophysics",2413,336,83,2.314,3.506,Oxford University Press,223530
Ultrasonics Sonochemistry,7.2,"98.0%
1/38
Acoustics and Ultrasonics",5424,754,87,1.952,1.429,Elsevier,13504177
Analytica Chimica Acta,7.1,"92.0%
5/60
Spectroscopy",18619,2611,80,1.584,1.626,Elsevier,32670
Environmental Pollution,7.1,"92.0%
8/101
Pollution",13064,1845,81,1.931,1.976,Elsevier,2697491
Freshwater Biology,7.1,"99.0%
2/188
Aquatic Science",5687,804,78,1.832,2.049,Wiley-Blackwell,465070
Geochimica et Cosmochimica Acta,7.1,"94.0%
6/103
Geochemistry and Petrology",13495,1902,83,1.73,2.711,Elsevier,#N/A
Global Biogeochemical Cycles,7.1,"96.0%
6/183
General Environmental Science",2739,384,80,1.634,3.298,Wiley-Blackwell,8866236
Indoor Air,7.1,"98.0%
2/143
Building and Construction",1359,192,84,2.336,1.571,Wiley-Blackwell,9056947
Quarterly Journal of the Royal Meteorological Society,7.1,"92.0%
8/96
Atmospheric Science",4946,694,81,2.006,4.325,Wiley-Blackwell,359009
Applied and Environmental Microbiology,7,"97.0%
6/238
Food Science",29765,4233,83,1.391,1.923,American Society for Microbiology,992240
Insect Molecular Biology,7,"98.0%
2/120
Insect Science",2048,294,84,0.887,1.652,Wiley-Blackwell,9621075
Evolutionary Applications,6.9,"92.0%
36/504
Ecology, Evolution, Behavior and Systematics",1825,263,81,1.425,2.499,Wiley-Blackwell,17524563
Geophysical Research Letters,6.9,"97.0%
4/167
General Earth and Planetary Sciences",28735,4167,78,1.736,3.24,Wiley-Blackwell,948276
Journal of Metamorphic Geology,6.9,"96.0%
7/200
Geology",1373,199,87,1.696,3.019,Wiley-Blackwell,2634929
Phytochemistry Reviews,6.9,"93.0%
23/362
Plant Science",917,133,75,2.121,1.096,Springer Nature,15687767
Limnology and Oceanography,6.8,"98.0%
4/188
Aquatic Science",4808,710,82,1.549,2.244,Wiley-Blackwell,243590
Persoonia: Molecular Phylogeny and Evolution of Fungi,6.8,"93.0%
25/362
Plant Science",487,72,89,2.134,1.917,National Herbarium Nederland/Leiden Branch,315850
Plant Molecular Biology,6.8,"98.0%
4/291
Agronomy and Crop Science",3782,556,85,1.198,1.875,Springer Nature,1674412
Progress in Oceanography,6.8,"98.0%
3/188
Aquatic Science",2445,358,89,1.617,2.37,Elsevier,796611
Soil Biology and Biochemistry,6.8,"97.0%
3/101
Soil Science",8446,1241,80,1.959,2.279,Elsevier,380717
American Journal of Science,6.7,"96.0%
6/167
General Earth and Planetary Sciences",912,137,73,1.681,2.411,American Journal of Science,29599
Biology Direct,6.7,"97.0%
6/213
Modeling and Simulation",1342,201,82,0.954,2.649,Springer Nature,17456150
Geoscientific Model Development,6.7,"97.0%
5/213
Modeling and Simulation",1580,236,71,1.982,4.411,Copernicus,1991959X
Agronomy for Sustainable Development,6.6,"98.0%
6/291
Agronomy and Crop Science",1527,232,77,1.769,1.462,Springer Nature,17740746
Biology Letters,6.6,"96.0%
2/40
Agricultural and Biological Sciences (miscellaneous)",6755,1022,82,1.397,2.264,The Royal Society,17449561
FEMS Microbiology Ecology,6.6,"93.0%
18/282
Ecology",5677,855,86,1.283,1.673,Oxford University Press,1686496
Geobiology,6.6,"96.0%
7/183
General Environmental Science",1003,151,83,1.199,1.985,Wiley-Blackwell,14724677
International Journal of Greenhouse Gas Control,6.6,"98.0%
3/221
Management, Monitoring, Policy and Law",5635,848,77,2.894,2.282,Elsevier,17505836
Review of Environmental Economics and Policy,6.6,"98.0%
4/221
Management, Monitoring, Policy and Law",416,63,84,2.989,3.169,Oxford University Press,17506816
Tectonics,6.6,"94.0%
6/94
Geophysics",2249,341,83,1.539,2.886,Wiley-Blackwell,2787407
BMC Evolutionary Biology,6.5,"92.0%
40/504
Ecology, Evolution, Behavior and Systematics",8408,1291,81,1.245,2.017,Springer Nature,14712148
Environmental and Molecular Mutagenesis,6.5,"87.0%
13/100
Health, Toxicology and Mutagenesis",2010,307,79,1.042,1.218,Wiley-Blackwell,8936692
Food Hydrocolloids,6.5,"97.0%
7/238
Food Science",5092,780,84,2.277,2.098,Elsevier,0268005X
International Journal of Food Microbiology,6.5,"99.0%
1/122
Safety, Risk, Reliability and Quality",8855,1363,79,1.836,1.612,Elsevier,1681605
Permafrost and Periglacial Processes,6.5,"98.0%
2/125
Earth-Surface Processes",762,117,71,1.661,1.978,Wiley-Blackwell,10456740
Theoretical And Applied Genetics,6.5,"97.0%
7/291
Agronomy and Crop Science",6443,992,84,1.555,1.797,Springer Nature,405752
Agricultural and Forest Meteorology,6.4,"99.0%
1/131
Forestry",4592,718,82,2.06,1.827,Elsevier,1681923
Aquatic Toxicology,6.4,"97.0%
5/188
Aquatic Science",6285,986,79,1.484,1.891,Elsevier,0166445X
Basin Research,6.4,"95.0%
9/200
Geology",1023,159,86,1.584,2.083,Wiley-Blackwell,0950091X
Business Strategy and the Environment,6.4,"99.0%
6/561
Geography, Planning and Development",916,144,81,1.938,1.392,Wiley-Blackwell,9644733
Climatic Change,6.4,"90.0%
10/96
Atmospheric Science",6945,1093,77,1.923,2.559,Springer Nature,1650009
Economic Policy,6.4,"97.0%
5/221
Management, Monitoring, Policy and Law",411,64,84,4.174,5.597,Oxford University Press,2664658
Elements,6.4,"96.0%
3/76
Earth and Planetary Sciences (miscellaneous)",1162,181,83,1.463,1.719,Mineralogical Society of America,18115209
Publications of the Astronomical Society of the Pacific,6.4,"83.0%
13/76
Space and Planetary Science",3255,508,69,1.062,2.451,Institute of Physics Publishing,46280
Quaternary Geochronology,6.4,"98.0%
1/36
Stratigraphy",1904,298,82,1.357,2.512,Elsevier,18711014
Food Chemistry,6.3,"96.0%
9/238
Food Science",36102,5746,82,2.055,1.554,Elsevier,3088146
Genome Biology and Evolution,6.3,"91.0%
41/504
Ecology, Evolution, Behavior and Systematics",3325,528,70,1.02,3.174,Oxford University Press,17596653
Journal of Quaternary Science,6.3,"98.0%
2/86
Paleontology",2325,372,81,1.281,1.76,Wiley-Blackwell,2678179
Lithos,6.3,"90.0%
10/103
Geochemistry and Petrology",5812,924,81,1.598,2.574,Elsevier,244937
"Perspectives in Plant Ecology, Evolution and Systematics",6.3,"92.0%
27/362
Plant Science",759,121,83,1.541,1.858,Elsevier,14338319
Physiologia Plantarum,6.3,"92.0%
26/362
Plant Science",2972,469,84,1.305,1.481,Wiley-Blackwell,319317
Progress in Physical Geography,6.3,"98.0%
7/561
Geography, Planning and Development",1043,165,76,1.677,1.529,SAGE,3091333
Biomass and Bioenergy,6.2,"98.0%
2/131
Forestry",9898,1588,77,1.802,1.666,Elsevier,9619534
Chemical Engineering Journal,6.2,"97.0%
7/288
Industrial and Manufacturing Engineering",28963,4637,79,1.908,1.597,Elsevier,13858947
Database : the journal of biological databases and curation,6.2,"90.0%
15/157
General Agricultural and Biological Sciences",1515,244,70,1.945,2.28,Oxford University Press,17580463
Food Microbiology,6.2,"96.0%
10/238
Food Science",4417,712,82,1.831,1.772,Elsevier,7400020
Insect Biochemistry and Molecular Biology,6.2,"97.0%
3/120
Insect Science",2588,419,81,1.365,1.705,Elsevier,9651748
Journal of Geodesy,6.2,"93.0%
2/22
Computers in Earth Sciences",1593,256,79,4.046,3.757,Springer Nature,9497714
Journal of Human Evolution,6.2,"98.0%
4/251
Anthropology",2889,468,80,1.337,2.173,Elsevier,472484
Marine Chemistry,6.2,"98.0%
4/182
Water Science and Technology",2061,331,80,1.728,2.248,Elsevier,3044203
Mutagenesis,6.2,"86.0%
16/111
Toxicology",2113,341,80,1.568,1.195,Oxford University Press,2678357
Oikos,6.2,"91.0%
43/504
Ecology, Evolution, Behavior and Systematics",5113,827,86,1.36,2.253,Wiley-Blackwell,301299
Planta,6.2,"92.0%
28/362
Plant Science",5528,891,83,1.305,1.596,Springer Nature,320935
Annals of Botany,6.1,"91.0%
30/362
Plant Science",6032,996,82,1.669,1.518,Oxford University Press,3057364
Biotechnology for Biofuels,6.1,"97.0%
7/221
Management, Monitoring, Policy and Law",2253,368,65,2.174,2.257,Springer Nature,
Cryosphere,6.1,"98.0%
3/125
Earth-Surface Processes",2040,337,80,1.461,3.249,Copernicus,19940416
Current Opinion in Environmental Sustainability,6.1,"99.0%
2/181
General Social Sciences",1864,304,88,1.342,1.637,Elsevier,18773435
Ecological Economics,6.1,"95.0%
22/510
Economics and Econometrics",5647,928,76,2.115,1.914,Elsevier,9218009
Environmental Research,6.1,"95.0%
8/183
General Environmental Science",3195,521,81,1.592,1.569,Elsevier,139351
Journal of Evolutionary Biology,6.1,"91.0%
45/504
Ecology, Evolution, Behavior and Systematics",6026,988,81,1.178,2.19,Wiley-Blackwell,1010061X
Mammal Review,6.1,"99.0%
2/336
Animal Science and Zoology",442,73,88,2.21,1.435,Wiley-Blackwell,3051838
Biogeosciences,6,"97.0%
4/125
Earth-Surface Processes",8062,1351,78,1.419,2.451,Copernicus,17264170
Climate Research,6,"94.0%
11/183
General Environmental Science",2042,339,77,1.306,1.695,Inter-Research Science Publishing,0936577X
Critical Reviews in Environmental Science and Technology,6,"96.0%
6/182
Water Science and Technology",1182,197,79,1.854,1.734,Taylor & Francis,10643389
International Journal of Biological Sciences,6,"90.0%
46/504
Ecology, Evolution, Behavior and Systematics",2604,432,80,1.375,1.758,Ivyspring International Publisher,14492288
Marine Biotechnology,6,"97.0%
6/188
Aquatic Science",1894,315,85,1.191,1.077,Springer Nature,14362228
Open Ecology Journal,6,"93.0%
12/183
General Environmental Science",227,38,66,0.916,0.986,Bentham,18742130
Tree Physiology,6,"91.0%
31/362
Plant Science",2872,480,81,1.671,1.766,Oxford University Press,0829318X
"Agriculture, Ecosystems and Environment",5.9,"99.0%
3/336
Animal Science and Zoology",5721,968,79,1.785,1.654,Elsevier,1678809
International Journal of Climatology,5.9,"88.0%
12/96
Atmospheric Science",4784,811,82,1.776,2.094,Wiley-Blackwell,8998418
Monthly Notices of the Royal Astronomical Society: Letters,5.9,"82.0%
14/76
Space and Planetary Science",2754,466,81,1.263,2.803,Oxford University Press,17453925
The Analyst,5.9,"86.0%
13/92
Environmental Chemistry",17086,2892,77,1.117,1.365,Royal Society of Chemistry,32654
Advances in Astronomy,5.8,"79.0%
16/76
Space and Planetary Science",993,172,64,0.657,0.957,Hindawi,16877969
Biofouling,5.8,"96.0%
7/188
Aquatic Science",2296,396,76,1.29,1.228,Taylor & Francis,8927014
Biogeochemistry,5.8,"96.0%
5/125
Earth-Surface Processes",2853,495,86,1.555,1.737,Springer Nature,1682563
Building and Environment,5.8,"98.0%
3/224
Civil and Structural Engineering",6767,1170,81,2.535,1.547,Elsevier,3601323
Evolution and Human Behavior,5.8,"92.0%
21/267
Arts and Humanities (miscellaneous)",1368,237,79,1.649,2.021,Elsevier,10905138
GCB Bioenergy,5.8,"98.0%
3/131
Forestry",1098,188,87,1.477,1.555,Wiley-Blackwell,17571693
Icarus,5.8,"80.0%
15/76
Space and Planetary Science",9441,1633,81,1.056,1.885,Elsevier,191035
International Journal of Coal Geology,5.8,"98.0%
1/25
Economic Geology",3101,536,81,2.407,1.151,Elsevier,1665162
Microbial Ecology,5.8,"95.0%
5/101
Soil Science",4100,705,81,1.251,1.421,Springer Nature,953628
Plant Science,5.8,"96.0%
12/291
Agronomy and Crop Science",4049,696,80,1.47,1.573,Elsevier,1689452
Behavioral Ecology,5.7,"98.0%
6/336
Animal Science and Zoology",4024,712,84,1.226,1.803,Oxford University Press,10452249
